Alphabetical number,Graph name,Source,Lens,Core insight
1,Absolute Forward-Ratio Error by Step,Retained,Math,"Shows how quickly each consecutive-term ratio closes on φ, without hiding early error."
2,Asymmetric Past–Future Distance Map,New,Time metaphor,Shows the unequal gaps around today: 1−1/φ=1/φ² into the past and φ−1=1/φ into the future.
3,Binet Formula Component Balance,New,Math,"Separates the dominant φⁿ component from the alternating ψⁿ component, showing where both growth and residual error come from."
4,Branching Recurrence Residual,New,Reality test,Compares observed branch counts with the sum of the prior two levels instead of assuming nature follows Fibonacci exactly.
5,Canonical Destination Line Chart,Retained,Math,"The clearest first view of the sequence, including the repeated 1 and accelerating growth."
6,Canonical Destination Log Plot,Retained,Math,Turns near-exponential growth into an almost straight line and exposes the small early deviations.
7,Cassini Identity Alternation,New,Math,"Plots Fₙ₊₁Fₙ₋₁−Fₙ²=(-1)ⁿ, revealing a permanent ±1 invariant inside enormous numbers."
8,Concept Compression by Recurrence,New,Metadata,Compares storing every derived value with storing two seeds plus one recurrence rule.
9,Consecutive-Pair Residual from Golden Line,Retained,Math,"Plots Fₙ₊₁−φFₙ, revealing an alternating residual that shrinks exactly rather than mysteriously."
10,Consecutive-Pair Scatter Plot,Retained,Math,"Plots (Fₙ,Fₙ₊₁) against y=φx so the sequence visibly approaches the golden direction."
11,Continued-Fraction Convergents to φ,New,Math,Shows that consecutive Fibonacci ratios are the successive best continued-fraction convergents to φ.
12,Convergence Error Scaled by Fibonacci Size,New,Math,Rescales ratio error by Fₙ so the hidden exact decay pattern becomes visible rather than vanishing into rounding.
13,Cross-Reference Growth by Document Layer,New,Metadata,"Shows how references accumulate as raw facts become rules, explanations, audits, and applications."
14,Cumulative Destination Sum,Retained,Math,Reveals the identity ΣFₖ=Fₙ₊₂−1 and shows that the accumulated past is encoded in a later term.
15,Destination Addition Decomposition,Retained,Math,Shows every term as the visible sum of its two known predecessors—the most fundamental recurrence picture.
16,Destination Share of Running Total,Retained,Math,"Shows each new term settling near 1/φ² of the accumulated total, linking local growth to global history."
17,Diagonal Sums in Pascal’s Triangle,New,Math,Highlights the shallow Pascal-triangle diagonals whose sums produce Fibonacci numbers.
18,Divisibility Lattice of Fibonacci Indices,New,Math,"Connects index divisibility to term divisibility, making Fₘ|Fₙ whenever m|n visible as a network."
19,Empirical Spiral Fit: Golden vs Alternatives,New,Reality test,"Compares residual error for a logarithmic golden spiral, a Fibonacci quarter-circle spiral, and competing spiral models."
20,Error Contraction Factor by Step,Retained,Math,Shows that ratio error contracts toward a factor of 1/φ² per step.
21,Error Magnitude vs Denominator,Retained,Math,Shows why larger Fibonacci denominators produce exceptionally accurate rational approximations to φ.
22,Event Salience Across Golden Time,New,Time metaphor,"Plots a user-defined importance or attention function around 1/φ, 1, and φ without treating it as a physical law."
23,Evidence Strength vs Claim Distance,New,Metadata / reality test,"Places direct identities near the origin and speculative natural or temporal claims farther away, with evidence strength on the other axis."
24,Fast-Doubling Dependency Map,New,Math / computation,"Visualizes how F₂ₙ and F₂ₙ₊₁ can be calculated from Fₙ and Fₙ₊₁, exposing logarithmic-time computation."
25,Fibonacci Addition Identity Surface,New,Math,"Maps both sides of Fₘ₊ₙ=Fₘ₋₁Fₙ+FₘFₙ₊₁ across m and n, with a zero-residual plane."
26,Fibonacci Backoff Timeline,New,Metadata / systems,"Shows retry or polling intervals of 1,1,2,3,5,… and compares latency with linear or exponential backoff."
27,Fibonacci Bucket Capacity Ladder,New,Metadata / systems,"Uses Fibonacci-sized storage or category capacities to show gradual, recurrence-based expansion."
28,Fibonacci Calendar Interval Ladder,New,Time metaphor,"Marks dates at ±1, ±2, ±3, ±5, ±8 and related intervals around today to create a recursive planning scale."
29,Fibonacci Matrix Powers and Eigenvalue Growth,New,Math,"Shows powers of the Q-matrix, their embedded Fibonacci entries, and dominance of the eigenvalue φ."
30,Fibonacci Modulo Heatmap,New,Math,"Displays Fₙ mod m across indices and moduli, making repeating Pisano structure immediately visible."
31,Fibonacci Prime Index Map,New,Math,"Marks prime Fibonacci terms and their indices, while showing that primality is rare and strongly constrained."
32,Fibonacci Priority Weight Curve,New,Metadata,"Normalizes Fibonacci values into weights for ranking attention, confidence, or resource allocation."
33,Fibonacci Sampling Cadence,New,Metadata,"Shows observation points spaced at Fibonacci intervals, emphasizing dense early learning and widening later checks."
